name,year_published,min_players,max_players,min_playtime,max_playtime,min_age,categories,mechanics,users_rated,average_rating,weight
Pax Porfiriana,2012,1,6,120,120,12,"['Card Game', 'Civil War', 'Economic', 'Political', 'Post-Napoleonic']","['Action Points', 'Finale Ending', 'Hand Management', 'Income', 'Market', 'Open Drafting', 'Simulation', 'Take That', 'Variable Player Powers']",3755,7.65815,3.638
Frank's Zoo,1999,3,7,60,60,10,"['Animals', 'Card Game']","['Hand Management', 'Ladder Climbing', 'Team-Based Game']",3755,6.61654,1.5217
Lacrimosa,2022,1,4,90,90,14,['Music'],"['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'End Game Bonuses', 'Movement Points', 'Open Drafting']",3760,7.68655,3.1475
Krosmaster: Arena,2012,2,4,45,60,14,"['Collectible Components', 'Fantasy', 'Fighting', 'Miniatures']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Open Drafting', 'Variable Player Powers']",3747,6.70228,2.674
Stick 'Em,1993,3,8,30,60,10,['Card Game'],"['Hand Management', 'Trick-taking']",3746,7.04907,1.9066
Tac Tac Jack,2008,2,7,10,10,5,"['Action / Dexterity', ""Children's Game""]",['Physical Removal'],3745,6.388,1.0377
Android: Infiltration,2012,2,6,30,45,14,"['Card Game', 'Exploration', 'Science Fiction', 'Spies/Secret Agents']","['Dice Rolling', 'Hand Management', 'Modular Board', 'Push Your Luck', 'Simultaneous Action Selection']",3745,6.51373,2.1008
Brian Boru: High King of Ireland,2021,3,5,60,90,14,"['Card Game', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Closed Drafting', 'Hand Management', 'Trick-taking']",3751,7.50342,2.5042
Champions of Midgard: Valhalla,2017,2,4,60,120,10,"['Adventure', 'Dice', 'Expansion for Base-game', 'Fantasy', 'Fighting', 'Medieval', 'Mythology']","['Dice Rolling', 'Open Drafting', 'Set Collection', 'Variable Player Powers', 'Worker Placement']",3743,8.38938,2.9024
Exit: The Game – The Polar Station,2017,1,4,45,90,12,"['Deduction', 'Puzzle', 'Real-time']",['Cooperative Game'],3742,6.84728,2.614
Spots,2022,1,4,25,30,10,"['Animals', 'Dice']","['Action Drafting', 'Contracts', 'Dice Rolling', 'Push Your Luck', 'Race', 'Re-rolling and Locking', 'Set Collection', 'Variable Set-up']",3766,7.1541,1.3421
Eldritch Horror: Mountains of Madness,2014,1,8,180,180,14,"['Expansion for Base-game', 'Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Open Drafting', 'Point to Point Movement', 'Role Playing', 'Storytelling', 'Variable Player Powers']",3736,8.21343,3.2477
Cosmic Encounter: Cosmic Incursion,2010,3,6,60,60,10,"['Bluffing', 'Card Game', 'Expansion for Base-game', 'Negotiation', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Team-Based Game', 'Variable Player Powers']",3731,8.2239,2.6822
Star Trek: Catan,2012,3,4,75,75,10,"['Movies / TV / Radio theme', 'Negotiation', 'Science Fiction']","['Dice Rolling', 'Hand Management', 'Modular Board', 'Network and Route Building', 'Trading']",3727,6.98272,2.3485
Vikings Gone Wild,2017,2,4,45,90,10,"['Card Game', 'City Building', 'Fantasy', 'Humor', 'Medieval', 'Mythology', 'Video Game Theme']","['Deck, Bag, and Pool Building', 'Hand Management']",3727,7.10099,2.2344
Marvel United: X-Men,2021,1,5,40,40,14,"['Card Game', 'Comic Book / Strip', 'Fighting']","['Cooperative Game', 'Hand Management', 'Modular Board', 'Solo / Solitaire Game', 'Team-Based Game', 'Variable Player Powers']",3727,8.05233,1.9697
Shadowrun: Crossfire,2014,1,4,30,60,13,"['Adventure', 'Card Game', 'Fantasy', 'Fighting', 'Science Fiction']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Legacy Game', 'Variable Player Powers']",3713,7.10614,2.827
A Feast for Odin: The Norwegians,2018,1,4,30,120,12,"['Economic', 'Expansion for Base-game', 'Farming', 'Industry / Manufacturing', 'Medieval', 'Puzzle']","['Dice Rolling', 'Income', 'Pattern Building', 'Solo / Solitaire Game', 'Tile Placement', 'Worker Placement']",3713,8.93045,3.9898
Exit: The Game – The Forgotten Island,2017,1,4,45,90,12,"['Deduction', 'Puzzle', 'Real-time']",['Cooperative Game'],3705,6.88583,2.5769
Cloudspire,2019,1,4,90,180,13,"['Exploration', 'Fantasy', 'Fighting', 'Video Game Theme']","['Action Queue', 'Bias', 'Cooperative Game', 'Dice Rolling', 'Events', 'Hexagon Grid', 'Modular Board', 'Solo / Solitaire Game', 'Team-Based Game', 'Tech Trees / Tech Tracks', 'Tile Placement', 'Turn Order: Progressive', 'Variable Player Powers']",3711,8.17889,4.381
Dinosaur Island: Rawr 'n Write,2021,1,4,30,45,10,"['Animals', 'Dice', 'Science Fiction']","['Connections', 'Dice Rolling', 'Grid Coverage', 'Network and Route Building', 'Paper-and-Pencil', 'Worker Placement with Dice Workers']",3708,7.71527,2.8081
Cross Clues,2020,2,6,5,10,7,"['Deduction', 'Party Game', 'Real-time', 'Word Game']","['Cooperative Game', 'Elapsed Real Time Ending', 'Real-Time']",3705,7.23915,1.0556
Quiddler,1998,1,8,30,30,8,"['Card Game', 'Word Game']","['Hand Management', 'Set Collection', 'Spelling']",3701,6.13643,1.4222
Gravwell: Escape from the 9th Dimension,2013,1,4,20,45,10,"['Card Game', 'Science Fiction']","['Action Queue', 'Bias', 'Open Drafting', 'Simultaneous Action Selection', 'Solo / Solitaire Game', 'Track Movement']",3688,6.86358,1.719
Merlin,2017,2,4,75,75,14,['Medieval'],"['Area Majority / Influence', 'Roll / Spin and Move', 'Rondel', 'Set Collection', 'Worker Placement']",3690,7.13241,3.0977
Tortuga 1667,2017,2,9,20,40,12,"['Card Game', 'Party Game', 'Pirates']","['Area Movement', 'Hand Management', 'Hidden Roles', 'Team-Based Game', 'Voting']",3686,6.88997,2.0133
John Company: Second Edition,2022,1,6,90,240,13,"['Economic', 'Educational', 'Negotiation', 'Political']","['Bribery', 'Dice Rolling', 'Negotiation', 'Push Your Luck', 'Simulation', 'Voting']",3708,8.31205,4.439
Maria,2009,2,3,210,210,14,"['Age of Reason', 'Bluffing', 'Negotiation', 'Political', 'Wargame']","['Auction/Bidding', 'Hand Management', 'Negotiation', 'Point to Point Movement', 'Secret Unit Deployment', 'Simulation', 'Tug of War', 'Variable Set-up', 'Zone of Control']",3686,7.98545,3.5916
Lifeboats,1993,3,6,90,90,12,"['Nautical', 'Negotiation', 'Party Game']","['Player Elimination', 'Simultaneous Action Selection', 'Voting']",3680,6.57868,1.7821
Star Wars: The Clone Wars,2022,1,5,60,60,14,"['Movies / TV / Radio theme', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Die Icon Resolution', 'Hand Management', 'Point to Point Movement', 'Set Collection', 'Solo / Solitaire Game', 'Variable Player Powers']",3690,7.58257,2.1471
Escape the Dark Castle,2017,1,4,20,45,14,"['Adventure', 'Card Game', 'Dice', 'Fantasy', 'Horror']","['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Paper-and-Pencil', 'Push Your Luck', 'Role Playing', 'Solo / Solitaire Game', 'Storytelling']",3683,7.36647,1.2143
Le Havre: The Inland Port,2012,2,2,30,30,10,"['Economic', 'Industry / Manufacturing']",['Action Points'],3673,6.80184,2.5088
Carolus Magnus,2000,2,4,60,60,12,"['Abstract Strategy', 'Medieval', 'Territory Building']","['Area Majority / Influence', 'Dice Rolling', 'Hand Management', 'Modular Board', 'Team-Based Game', 'Track Movement', 'Turn Order: Auction']",3674,6.83166,2.5816
Circle the Wagons,2017,2,2,15,15,8,"['American West', 'Card Game', 'City Building', 'Print & Play']","['Contracts', 'Layering', 'Open Drafting', 'Set Collection', 'Tile Placement']",3675,7.05986,1.6136
The Oregon Trail Card Game,2016,2,6,30,45,12,"['American West', 'Card Game', 'Educational', 'Video Game Theme']","['Communication Limits', 'Connections', 'Cooperative Game', 'Dice Rolling', 'Hand Management', 'Lose a Turn', 'Move Through Deck', 'Player Elimination', 'Simulation', 'Solo / Solitaire Game']",3672,4.20886,1.16
First Martians: Adventures on the Red Planet,2017,1,4,60,90,10,"['Adventure', 'Exploration', 'Science Fiction', 'Space Exploration']","['Cooperative Game', 'Dice Rolling', 'Legacy Game', 'Modular Board', 'Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Storytelling', 'Variable Player Powers', 'Worker Placement']",3663,6.3811,4.1535
Dragonheart,2010,2,2,30,30,13,"['Bluffing', 'Card Game', 'Fantasy', 'Fighting']",['Hand Management'],3663,6.49944,1.3553
River Dragons,2000,2,6,30,30,8,['Abstract Strategy'],"['Action Queue', 'Point to Point Movement', 'Simultaneous Action Selection']",3661,6.49853,1.7215
Wallenstein,2002,3,5,150,150,12,"['Economic', 'Pike and Shot', 'Territory Building', 'Wargame']","['Action Points', 'Action Queue', 'Area Majority / Influence', 'Area Movement', 'Cube Tower', 'Simulation', 'Simultaneous Action Selection', 'Variable Phase Order']",3662,7.4591,3.308
Islebound,2016,2,4,60,120,13,"['Fantasy', 'Nautical', 'Pirates']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'End Game Bonuses', 'Increase Value of Unchosen Resources', 'Modular Board', 'Ownership', 'Pick-up and Deliver', 'Push Your Luck', 'Worker Placement']",3658,7.16468,2.7253
Reykholt,2018,1,4,30,60,12,['Farming'],"['Scenario / Mission / Campaign Game', 'Solo / Solitaire Game', 'Worker Placement']",3655,6.69609,2.1609
Bloodborne: The Board Game,2021,1,4,45,75,14,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Horror', 'Miniatures', 'Video Game Theme']","['Campaign / Battle Card Driven', 'Card Play Conflict Resolution', 'Cooperative Game', 'Deck, Bag, and Pool Building', 'Hand Management', 'Modular Board', 'Narrative Choice / Paragraph', 'Scenario / Mission / Campaign Game', 'Storytelling', 'Variable Player Powers']",3658,7.78992,3.0638
Great Western Trail: New Zealand,2023,1,4,75,150,12,"['Animals', 'Economic']","['Deck, Bag, and Pool Building', 'Hand Management', 'Ownership', 'Set Collection', 'Solo / Solitaire Game', 'Track Movement', 'Variable Set-up']",3677,8.59856,3.9552
D-Day Dice,2012,1,4,45,45,14,"['Dice', 'Wargame', 'World War II']","['Cooperative Game', 'Dice Rolling', 'Push Your Luck', 'Simultaneous Action Selection']",3651,6.81776,2.0492
Tiny Epic Dinosaurs,2020,1,4,30,60,14,"['Animals', 'Fantasy', 'Farming', 'Science Fiction']","['Contracts', 'Enclosure', 'Hidden Victory Points', 'Solo / Solitaire Game', 'Worker Placement']",3652,7.31432,2.6173
Coffee Roaster,2015,1,1,10,30,12,['Industry / Manufacturing'],"['Deck, Bag, and Pool Building', 'Memory', 'Once-Per-Game Abilities', 'Push Your Luck', 'Solo / Solitaire Game', 'Variable Set-up']",3650,7.34375,2.123
Ascension: Storm of Souls,2011,1,4,30,30,13,"['Card Game', 'Fantasy']","['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']",3647,7.27748,2.3269
Race for the Galaxy: The Brink of War,2010,1,6,30,60,12,"['Card Game', 'Civilization', 'Economic', 'Expansion for Base-game', 'Science Fiction', 'Space Exploration']","['Hand Management', 'Simultaneous Action Selection', 'Variable Player Powers']",3649,7.76218,3.3723
Three Sisters,2022,1,4,30,60,14,"['Dice', 'Farming']","['Dice Rolling', 'Paper-and-Pencil', 'Rondel', 'Solo / Solitaire Game']",3650,7.5751,2.7113
Bus,1999,3,5,120,120,14,['Transportation'],"['Action Points', 'Action Queue', 'Network and Route Building', 'Pick-up and Deliver', 'Turn Order: Claim Action', 'Turn Order: Progressive', 'Worker Placement']",3646,7.60986,3.0497
Cathedral,1979,2,2,20,20,8,"['Abstract Strategy', ""Children's Game"", 'City Building', 'Territory Building']","['Enclosure', 'Pattern Building', 'Square Grid', 'Tile Placement']",3642,6.54523,1.7845
Munchkin Zombies,2011,3,6,90,90,10,"['Card Game', 'Fighting', 'Humor', 'Zombies']","['Dice Rolling', 'Hand Management', 'Variable Player Powers']",3642,6.16939,1.9375
Codenames: Deep Undercover,2016,4,8,15,15,18,"['Card Game', 'Deduction', 'Mature / Adult', 'Party Game', 'Spies/Secret Agents', 'Word Game']","['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']",3639,6.56823,1.3243
Smash Up: Pretty Pretty Smash Up,2015,2,2,45,45,14,"['Animals', 'Card Game', 'Fantasy', 'Humor']","['Area Majority / Influence', 'Hand Management', 'Variable Player Powers']",3636,7.22671,2.1489
Whistle Stop,2017,2,5,75,75,13,"['American West', 'Trains']","['Action Points', 'Pick-up and Deliver', 'Set Collection', 'Tile Placement']",3634,7.0613,2.7529
Forbidden Sky,2018,2,5,60,60,10,"['Adventure', 'Electronic', 'Fantasy', 'Science Fiction']","['Action Points', 'Cooperative Game', 'Grid Coverage', 'Grid Movement', 'Hand Management', 'Map Reduction', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Solo / Solitaire Game', 'Square Grid', 'Tile Placement', 'Variable Player Powers']",3630,6.38741,2.5593
Pentago,2005,2,2,5,5,8,['Abstract Strategy'],"['Map Deformation', 'Pattern Building', 'Square Grid']",3627,6.38454,1.8415
Power Grid: The New Power Plants – Set 1,2007,2,6,120,120,12,"['Economic', 'Expansion for Base-game', 'Industry / Manufacturing']","['Auction/Bidding', 'Network and Route Building']",3622,7.7966,2.9751
Time's Up! Title Recall!,2008,4,18,60,60,12,"['Humor', 'Movies / TV / Radio theme', 'Party Game']","['Acting', 'Communication Limits', 'Memory', 'Team-Based Game']",3622,7.67845,1.1828
Arkham Horror: Curse of the Dark Pharaoh Expansion,2006,1,8,240,240,12,"['Adventure', 'Expansion for Base-game', 'Fighting', 'Horror', 'Novel-based', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Hand Management', 'Point to Point Movement', 'Variable Player Powers']",3619,7.31651,3.15
BattleTech,1985,2,4,0,0,12,"['Collectible Components', 'Fighting', 'Miniatures', 'Science Fiction', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Movement Points', 'Role Playing', 'Simulation', 'Variable Player Powers']",3618,7.09995,3.4138
SeaFall,2016,3,5,120,180,14,"['Civilization', 'Exploration', 'Nautical']","['Campaign / Battle Card Driven', 'Grid Movement', 'Hand Management', 'Legacy Game', 'Trading', 'Variable Player Powers']",3617,6.18177,3.7946
Qwinto,2015,2,6,15,15,8,"['Dice', 'Number']","['Dice Rolling', 'Paper-and-Pencil', 'Pattern Building']",3617,6.99337,1.35
Thunder Alley,2014,2,7,90,90,10,"['Racing', 'Sports']","['Hand Management', 'Race']",3614,7.29555,2.3961
Star Trek: Ascendancy,2016,3,3,180,180,14,"['Civilization', 'Exploration', 'Miniatures', 'Movies / TV / Radio theme', 'Negotiation', 'Science Fiction', 'Space Exploration', 'Territory Building', 'Wargame']","['Action Points', 'Dice Rolling', 'Events', 'Modular Board', 'Player Elimination', 'Point to Point Movement', 'Simulation', 'Trading', 'Variable Player Powers']",3617,7.81682,3.1441
Trails,2021,2,4,20,40,10,"['Adventure', 'Animals', 'Environmental', 'Travel']","['Contracts', 'End Game Bonuses', 'Modular Board', 'Set Collection', 'Track Movement', 'Worker Placement']",3617,7.06023,1.7722
We Didn't Playtest This At All,2007,2,10,1,10,12,"['Card Game', 'Humor', 'Party Game']","['Hand Management', 'Memory', 'Player Elimination', 'Rock-Paper-Scissors', 'Take That']",3609,5.41466,1.0822
Stella: Dixit Universe,2021,3,6,30,30,8,"['Card Game', 'Party Game']","['Deduction', 'Push Your Luck']",3615,7.30812,1.137
Roll for the Galaxy: Ambition,2015,2,5,30,60,14,"['Expansion for Base-game', 'Civilization', 'Dice', 'Economic', 'Science Fiction', 'Space Exploration']","['Deck, Bag, and Pool Building', 'Dice Rolling', 'Simultaneous Action Selection', 'Variable Phase Order', 'Variable Player Powers', 'Worker Placement']",3611,8.08661,2.8158
Dune: Imperium – Immortality,2022,1,4,60,120,13,"['Expansion for Base-game', 'Movies / TV / Radio theme', 'Novel-based', 'Political', 'Science Fiction']","['Card Play Conflict Resolution', 'Deck, Bag, and Pool Building', 'Force Commitment', 'Open Drafting', 'Race', 'Solo / Solitaire Game', 'Turn Order: Progressive', 'Worker Placement']",3609,8.6174,3.2958
Smash Up: The Obligatory Cthulhu Set,2013,2,2,30,45,12,"['Card Game', 'Fantasy', 'Horror', 'Humor', 'Mythology']","['Area Majority / Influence', 'Hand Management', 'Take That', 'Variable Player Powers']",3602,6.73639,2.1724
Deep Space D-6,2015,1,1,30,30,10,"['Dice', 'Print & Play', 'Science Fiction']","['Dice Rolling', 'Solo / Solitaire Game', 'Worker Placement', 'Worker Placement with Dice Workers']",3601,7.16695,1.687
Gentes,2017,1,4,90,90,12,"['Ancient', 'Civilization']","['Action Drafting', 'Action Points', 'Open Drafting', 'Set Collection', 'Turn Order: Claim Action']",3599,7.39359,3.169
Five Crowns,1996,1,7,30,30,8,['Card Game'],"['Hand Management', 'Set Collection']",3599,6.08584,1.2214
Wasteland Express Delivery Service,2017,2,5,90,120,13,"['Miniatures', 'Science Fiction', 'Transportation']","['Action Points', 'Dice Rolling', 'Market', 'Modular Board', 'Pick-up and Deliver', 'Variable Player Powers']",3595,7.31204,2.9474
Power Grid: The First Sparks,2011,2,6,60,60,12,"['Animals', 'Economic', 'Prehistoric']","['Area Movement', 'Modular Board', 'Network and Route Building', 'Open Drafting']",3591,6.76723,2.7056
Dominion: Black Market Promo Card,2009,2,4,30,30,10,"['Card Game', 'Expansion for Base-game', 'Medieval']","['Deck, Bag, and Pool Building', 'Delayed Purchase', 'Hand Management', 'Open Drafting']",3590,7.13014,2.3235
Feed the Kraken,2022,5,11,45,90,12,"['Card Game', 'Deduction', 'Fantasy', 'Miniatures', 'Nautical', 'Party Game', 'Pirates']","['Acting', 'Betting and Bluffing', 'Grid Movement', 'Hidden Roles', 'Role Playing', 'Roles with Asymmetric Information', 'Team-Based Game', 'Traitor Game', 'Variable Player Powers', 'Voting']",3598,7.86181,2.1122
The Fox in the Forest Duet,2020,2,2,30,30,10,"['Animals', 'Card Game', 'Fantasy']","['Communication Limits', 'Cooperative Game', 'Hand Management', 'Map Reduction', 'Trick-taking', 'Variable Set-up']",3592,7.02262,1.7342
Everdell: Spirecrest,2020,1,4,40,100,14,"['Animals', 'Card Game', 'City Building', 'Expansion for Base-game', 'Fantasy']","['Events', 'Hand Management', 'Open Drafting', 'Set Collection', 'Worker Placement']",3590,8.28374,2.9867
Rococo: Deluxe Edition,2020,1,5,60,120,14,"['Age of Reason', 'Economic', 'Industry / Manufacturing']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'End Game Bonuses', 'Hand Management', 'Income', 'Open Drafting', 'Set Collection']",3590,8.20843,3.0714
Mountain Goats,2010,2,4,20,20,8,"['Abstract Strategy', 'Animals', 'Dice', 'Number']","['Dice Rolling', 'King of the Hill', 'Roll / Spin and Move', 'Set Collection', 'Track Movement']",3598,6.82389,1.1765
Aton,2005,2,2,30,30,8,"['Abstract Strategy', 'Ancient', 'Religious']","['Area Majority / Influence', 'Hand Management', 'Once-Per-Game Abilities', 'Simultaneous Action Selection']",3573,6.85995,2.1166
Eldritch Horror: Strange Remnants,2015,1,8,120,240,14,"['Expansion for Base-game', 'Adventure', 'Fantasy', 'Fighting', 'Horror', 'Novel-based']","['Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Role Playing', 'Storytelling', 'Variable Player Powers']",3565,8.31218,3.125
Bullet♥︎,2021,1,4,10,20,13,"['Fighting', 'Puzzle', 'Real-time', 'Science Fiction']","['Cooperative Game', 'Pattern Building', 'Push Your Luck', 'Real-Time', 'Solo / Solitaire Game', 'Variable Player Powers']",3565,7.63325,2.1279
Trismegistus: The Ultimate Formula,2019,1,4,90,120,14,['Dice'],"['Action Points', 'Contracts', 'Dice Rolling', 'End Game Bonuses', 'Follow', 'Open Drafting', 'Variable Player Powers']",3562,7.58339,4.1799
Web of Power,2000,3,5,50,60,12,"['Medieval', 'Territory Building']","['Area Majority / Influence', 'Hand Management', 'Network and Route Building', 'Open Drafting']",3561,7.30358,2.3062
Orchard: A 9 card solitaire game,2018,1,1,5,10,8,"['Abstract Strategy', 'Card Game', 'Dice', 'Farming', 'Print & Play']","['Layering', 'Melding and Splaying', 'Pattern Building', 'Solo / Solitaire Game', 'Tile Placement']",3563,7.30906,1.1939
Mystery Rummy: Jack the Ripper,1998,2,4,45,45,10,"['Card Game', 'Murder/Mystery']","['Hand Management', 'Set Collection', 'Voting']",3551,6.94393,1.7458
Battle Cry,1999,2,2,45,45,10,"['American Civil War', 'Wargame']","['Command Cards', 'Dice Rolling', 'Hand Management', 'Hexagon Grid', 'Modular Board']",3543,7.16112,2.0967
Lucky Numbers,2012,1,4,20,20,8,"['Abstract Strategy', 'Number']","['Solo / Solitaire Game', 'Tile Placement']",3551,6.36735,1.1327
Top Ten,2020,4,9,30,30,14,['Party Game'],"['Cooperative Game', 'Deduction', 'Ordering', 'Player Judge', 'Targeted Clues']",3548,7.47097,1.0864
Hardback,2018,1,5,45,90,10,"['Card Game', 'Word Game']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Delayed Purchase', 'Open Drafting', 'Push Your Luck', 'Race', 'Spelling']",3542,7.16355,2.0923
Set a Watch,2019,1,4,45,80,13,"['Adventure', 'Card Game', 'Dice', 'Fantasy']","['Cooperative Game', 'Dice Rolling', 'Solo / Solitaire Game', 'Variable Player Powers']",3539,7.26267,2.4083
Fallout Shelter: The Board Game,2020,2,4,60,90,14,['Video Game Theme'],"['Dice Rolling', 'End Game Bonuses', 'Layering', 'Modular Board', 'Turn Order: Claim Action', 'Worker Placement', 'Worker Placement, Different Worker Types']",3541,7.23434,2.0112
A Study in Emerald,2013,2,5,90,90,13,"['Bluffing', 'Fantasy', 'Horror', 'Murder/Mystery', 'Novel-based', 'Political', 'Post-Napoleonic', 'Spies/Secret Agents', 'Zombies']","['Area Majority / Influence', 'Deck, Bag, and Pool Building', 'Hand Management', 'Hidden Roles', 'Open Drafting', 'Point to Point Movement', 'Team-Based Game']",3533,7.21087,3.4508
Mr. Jack in New York,2009,2,2,30,30,14,"['Deduction', 'Murder/Mystery']","['Deduction', 'Grid Movement', 'Hexagon Grid', 'Variable Player Powers']",3531,7.19194,2.5309
Merchants Cove,2021,1,4,60,90,14,"['Economic', 'Fantasy', 'Nautical']","['Commodity Speculation', 'Dice Rolling', 'Rondel', 'Solo / Solitaire Game', 'Tile Placement', 'Turn Order: Time Track', 'Variable Player Powers', 'Worker Placement']",3530,7.46364,2.7232
Pixel Tactics,2012,2,2,30,30,12,"['Card Game', 'Fantasy', 'Fighting', 'Video Game Theme']","['Hand Management', 'Multi-Use Cards', 'Open Drafting', 'Variable Player Powers']",3525,6.83962,2.6143
878 Vikings: Invasions of England,2017,2,4,60,120,12,"['Educational', 'Medieval', 'Miniatures', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Campaign / Battle Card Driven', 'Command Cards', 'Dice Rolling', 'Die Icon Resolution', 'Sudden Death Ending', 'Team-Based Game', 'Turn Order: Random', 'Variable Player Powers', 'Variable Set-up']",3521,7.49635,2.622
Wildlands,2018,2,4,30,60,14,"['Fantasy', 'Fighting', 'Miniatures']","['Area Movement', 'Hand Management', 'Interrupts', 'Kill Steal', 'Secret Unit Deployment', 'Variable Player Powers']",3524,7.28044,2.2302
First Rat,2022,1,5,30,75,10,"['Adventure', 'Animals', 'Humor', 'Space Exploration']","['Point to Point Movement', 'Set Collection', 'Solo / Solitaire Game']",3527,7.57147,2.2705
Exit: The Game – The Sunken Treasure,2017,1,4,45,90,10,['Deduction'],['Cooperative Game'],3517,7.04077,1.8125
Traders of Osaka,2006,2,4,30,30,13,"['Ancient', 'Card Game', 'Economic', 'Nautical']","['Commodity Speculation', 'Hand Management', 'Open Drafting', 'Set Collection', 'Track Movement']",3515,6.80938,2.042
Castle Panic: The Wizard's Tower,2011,1,6,90,90,12,"['Expansion for Base-game', 'Fantasy', 'Fighting', 'Medieval', 'Mythology']","['Campaign / Battle Card Driven', 'Cooperative Game', 'Dice Rolling', 'Hand Management']",3504,7.45489,2.0593
Last Bastion,2019,1,4,45,45,14,"['Fantasy', 'Fighting', 'Medieval', 'Miniatures']","['Cooperative Game', 'Dice Rolling', 'Die Icon Resolution', 'Grid Movement', 'Modular Board', 'Move Through Deck', 'Player Elimination', 'Solo / Solitaire Game', 'Square Grid', 'Variable Player Powers', 'Variable Set-up']",3504,7.46205,2.5847
Fuji Flush,2016,3,8,10,20,7,"['Card Game', 'Number']","['Hand Management', 'Take That']",3503,6.62961,1.0781
Factory Fun,2006,2,5,45,45,10,"['Industry / Manufacturing', 'Puzzle', 'Real-time']","['Modular Board', 'Real-Time', 'Tile Placement']",3497,6.80397,2.5
Warp's Edge,2020,1,1,30,45,10,['Science Fiction'],"['Deck, Bag, and Pool Building', 'Solo / Solitaire Game']",3505,7.71322,2.4198
Stronghold,2009,2,4,120,120,10,"['Fantasy', 'Fighting', 'Medieval']","['Action Points', 'Area Majority / Influence', 'Point to Point Movement', 'Team-Based Game', 'Variable Player Powers']",3491,7.12016,3.6721
Cuba Libre,2013,1,4,180,180,14,"['Economic', 'Modern Warfare', 'Political', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Solo / Solitaire Game', 'Variable Player Powers']",3492,7.68094,3.6169
Timeline: Music & Cinema,2013,2,8,15,15,8,"['Card Game', 'Educational', 'Music', 'Party Game', 'Trivia']",[],3490,6.72317,1.0889
Orléans: Invasion,2015,1,5,90,120,12,"['Expansion for Base-game', 'Medieval', 'Religious', 'Travel']","['Cooperative Game', 'Deck, Bag, and Pool Building', 'Point to Point Movement', 'Worker Placement']",3492,8.26228,3.3544
Arctic Scavengers,2009,2,5,45,60,12,"['Bluffing', 'Card Game', 'Fighting']","['Deck, Bag, and Pool Building', 'Hand Management', 'Open Drafting']",3487,6.75908,2.2635
Java,2000,2,4,120,120,12,['City Building'],"['Action Points', 'Area Majority / Influence', 'Layering', 'Tile Placement']",3485,7.0076,3.381
Risk (Revised Edition),2008,3,5,90,90,10,"['Territory Building', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling', 'Player Elimination', 'Set Collection']",3484,5.97413,2.1582
Carcassonne: South Seas,2013,2,5,35,35,8,"['Economic', 'Nautical']","['Area Majority / Influence', 'Set Collection', 'Tile Placement']",3475,7.05532,1.88
Pandemic: Contagion,2014,2,5,30,30,14,"['Card Game', 'Medical']","['Area Majority / Influence', 'Hand Management', 'Tags']",3475,6.40764,1.8952
Arkham Horror: Innsmouth Horror Expansion,2009,1,8,180,180,13,"['Adventure', 'Expansion for Base-game', 'Fighting', 'Horror', 'Novel-based', 'Science Fiction']","['Cooperative Game', 'Dice Rolling', 'Point to Point Movement', 'Role Playing', 'Variable Player Powers']",3474,7.89576,3.5833
Hive: The Mosquito,2007,2,2,20,20,9,"['Expansion for Base-game', 'Abstract Strategy', 'Animals']","['Grid Movement', 'Tile Placement']",3470,7.56523,2.2452
Cthulhu Fluxx,2012,2,6,5,30,8,"['Card Game', 'Horror']","['Hand Management', 'Set Collection']",3468,6.09663,1.4426
Trial by Trolley,2020,3,13,30,90,14,"['Mature / Adult', 'Party Game']","['Hand Management', 'Player Judge', 'Simultaneous Action Selection']",3474,6.07472,1.0333
Catan: Junior,2011,2,4,30,30,6,"[""Children's Game"", 'Economic', 'Nautical', 'Pirates']","['Dice Rolling', 'Network and Route Building']",3467,6.59808,1.4959
